orderId,Account,Order ID,B/S,Contract,Product,Product Description,avgPrice,filledQty,Fill Time,lastCommandId,Status,_priceFormat,_priceFormatType,_tickSize,spreadDefinitionId,Version ID,Timestamp,Date,Quantity,Text,Type,Limit Price,Stop Price,decimalLimit,decimalStop,Filled Qty,Avg Fill Price,decimalFillAvg
245914870007,TAKEPROFIT6215418,245914870007, Buy,MNQU5,MNQ,Micro E-mini NASDAQ-100,22703.0,3,07/01/2025 10:03:32,245914870007, Filled,-2,0,0.25,,245914870007,07/01/2025 10:03:32,7/1/25,3,Tradingview, Market,,,,,3,22703.00,22703.0
245914870014,TAKEPROFIT6215418,245914870014, Sell,MNQU5,MNQ,Micro E-mini NASDAQ-100,22701.75,3,07/01/2025 10:06:44,245914870014, Filled,-2,0,0.25,,245914870014,07/01/2025 10:06:44,7/1/25,3,Exit, Market,,,,,3,22701.75,22701.75
245914870022,TAKEPROFIT6215418,245914870022, Buy,MNQU5,MNQ,Micro E-mini NASDAQ-100,,,,245914870022, Canceled,-2,0,0.25,,245914870022,07/01/2025 10:09:29,7/1/25,3,Tradingview, Limit,22599.25,,22599.25,,,,
245914870028,TAKEPROFIT6215418,245914870028, Buy,MNQU5,MNQ,Micro E-mini NASDAQ-100,22622.75,3,07/01/2025 10:18:03,245914870028, Filled,-2,0,0.25,,245914870028,07/01/2025 10:18:03,7/1/25,3,Tradingview, Market,,,,,3,22622.75,22622.75
245914870034,TAKEPROFIT6215418,245914870034, Buy,MNQU5,MNQ,Micro E-mini NASDAQ-100,22623.0,3,07/01/2025 10:18:07,245914870034, Filled,-2,0,0.25,,245914870034,07/01/2025 10:18:07,7/1/25,3,Tradingview, Market,,,,,3,22623.00,22623.0
245914870040,TAKEPROFIT6215418,245914870040, Buy,MNQU5,MNQ,Micro E-mini NASDAQ-100,22640.75,3,07/01/2025 10:19:32,245914870040, Filled,-2,0,0.25,,245914870040,07/01/2025 10:19:32,7/1/25,3,Tradingview, Market,,,,,3,22640.75,22640.75
245914870046,TAKEPROFIT6215418,245914870046, Sell,MNQU5,MNQ,Micro E-mini NASDAQ-100,22646.5,3,07/01/2025 10:20:27,245914870046, Filled,-2,0,0.25,,245914870046,07/01/2025 10:20:27,7/1/25,3,Tradingview, Market,,,,,3,22646.50,22646.5
245914870054,TAKEPROFIT6215418,245914870054, Sell,MNQU5,MNQ,Micro E-mini NASDAQ-100,22645.25,3,07/01/2025 10:20:30,245914870054, Filled,-2,0,0.25,,245914870054,07/01/2025 10:20:30,7/1/25,3,Tradingview, Market,,,,,3,22645.25,22645.25
245914870062,TAKEPROFIT6215418,245914870062, Sell,MNQU5,MNQ,Micro E-mini NASDAQ-100,22636.75,3,07/01/2025 10:21:05,245914870062, Filled,-2,0,0.25,,245914870062,07/01/2025 10:21:05,7/1/25,3,Exit, Market,,,,,3,22636.75,22636.75
245914870070,TAKEPROFIT6215418,245914870070, Sell,MNQU5,MNQ,Micro E-mini NASDAQ-100,22694.25,3,07/01/2025 11:41:09,245914870070, Filled,-2,0,0.25,,245914870070,07/01/2025 11:41:09,7/1/25,3,Tradingview, Market,,,,,3,22694.25,22694.25
245914870076,TAKEPROFIT6215418,245914870076, Buy,MNQU5,MNQ,Micro E-mini NASDAQ-100,22703.5,3,07/01/2025 11:42:54,245914870076, Filled,-2,0,0.25,,245914870076,07/01/2025 11:42:54,7/1/25,3,Exit, Market,,,,,3,22703.50,22703.5
245914870084,TAKEPROFIT6215418,245914870084, Sell,MNQU5,MNQ,Micro E-mini NASDAQ-100,22701.25,3,07/01/2025 11:46:53,245914870084, Filled,-2,0,0.25,,245914870084,07/01/2025 11:46:53,7/1/25,3,Tradingview, Market,,,,,3,22701.25,22701.25
245914870090,TAKEPROFIT6215418,245914870090, Sell,MNQU5,MNQ,Micro E-mini NASDAQ-100,22698.25,3,07/01/2025 11:47:15,245914870090, Filled,-2,0,0.25,,245914870090,07/01/2025 11:47:15,7/1/25,3,Tradingview, Market,,,,,3,22698.25,22698.25
